업체명,모델명,연료,도심주행연비,고속도로연비
체리자동차,MASADA QQ 2밴,전기,6.4,6.1
페라리,페라리 SF90 XX Stradale,전기+휘발유,10.1,10.8
벤츠,Mercedes-Benz GLB 250 4MATIC,휘발유,9.5,12.2
현대,"투싼 개조 2.0 디젤 8AT AWD 17""",경유,11.4,14.4
현대,"투싼 개조 2.0 디젤 8AT AWD 18""",경유,11.7,14.6
현대,"투싼 개조 2.0 디젤 8AT AWD 19""",경유,11.2,14.1
현대,"투싼 개조 2.0 디젤 8AT 2WD 17""",경유,12.7,16.7
현대,"투싼 개조 2.0 디젤 8AT 2WD 18"" (nC)",경유,12.7,16.8
현대,"투싼 개조 2.0 디젤 8AT 2WD 18"" (C)",경유,12.4,16.7
현대,"투싼 개조 2.0 디젤 8AT 2WD 19""",경유,12.3,16.4
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 17""",휘발유,14.7,14.6
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 17"" (nC)",휘발유,17,15.2
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 17"" (C)",휘발유,16.1,15.1
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 18""",휘발유,14.7,14.6
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT AWD 19""",휘발유,14.4,14.1
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 18"" (nC)",휘발유,17,15.2
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 18"" (C)",휘발유,16.1,15.1
현대,"투싼 개조 1.6T-GDI 하이브리드 6AT 2WD 19""",휘발유,15.1,14.5
현대,"투싼 개조 1.6T-GDI 7DCT AWD 17""",휘발유,10.7,12.8
현대,"투싼 개조 1.6T-GDI 7DCT AWD 18""",휘발유,10.2,12.9
벤츠,Mercedes-Benz GLB 250 4MATIC,휘발유,9.5,12.2
현대,"투싼 개조 1.6T-GDI 7DCT AWD 19""",휘발유,10.1,12.7
현대,"투싼 개조 1.6T-GDI 7DCT 2WD 17""",휘발유,11.5,13.9
현대,"투싼 개조 1.6T-GDI 7DCT 2WD 18"" (nC)",휘발유,11.5,13.8
페라리,페라리 SF90 XX Spider,전기+휘발유,10.1,10.8
현대,"투싼 개조 1.6T-GDI 7DCT 2WD 18"" (C)",휘발유,11.3,13.7
현대,"투싼 개조 1.6T-GDI 7DCT 2WD 19""",휘발유,10.9,13.6
BMW,"BMW i5 eDrive40 (19"", 20"")",전기,4.6,4.6
현대,포터 2.5T-LPDi 2WD 초장축 6MT 일반캡,LPG,6.7,7.4
현대,포터 2.5T-LPDi 2WD 초장축 5AT 일반캡,LPG,6.1,7.1
현대,포터 2.5T-LPDi 4X4 장축 6MT 일반캡,LPG,6.2,6.4
벤츠,Mercedes-AMG GLB 35 4MATIC,휘발유,8.5,11
현대,포터 2.5T-LPDi 2WD 초장축 6MT 슈퍼캡,LPG,6.7,7.4
현대,포터 2.5T-LPDi 2WD 초장축 6MT 더블캡,LPG,6.5,7.2
